activity_id,access_seq,week,eclo,access_night
A2017,7,23,0,1
A2019,1,11,0,1
A2019,2,12,0,1
A2020,1,13,0,2
A2020,2,14,0,2
A2021,1,3,0,1
A2021,2,4,0,1
A2021,3,5,0,1
A2023,1,21,0,1
A2023,2,22,0,1
A2023,3,23,0,1
A2023,4,24,0,1
A2023,5,25,0,1
A2023,6,26,0,1
A2023,7,27,0,1
A2025,1,8,0,1
A2025,2,9,0,1
A2025,3,10,0,1
A2025,4,11,0,1
A2025,5,12,0,1
A2025,6,13,0,1
A2025,7,14,0,1
A2028,1,9,0,1
A2028,2,10,0,1
A2031,1,1,0,1
A2031,2,2,0,1
A2035,1,1,0,1
A2035,2,2,0,1
A2035,3,3,0,1
A2036,1,22,0,1
A2036,2,23,0,1
A2036,3,24,0,1
A2036,4,25,0,1
A2036,5,26,0,1
A2036,6,27,0,1
A2036,7,28,0,1
A2037,1,8,0,2
A2037,2,9,0,2
A2038,1,10,0,2
A2038,2,11,0,2
A2038,3,12,0,2
A2039,1,8,0,1
A2039,2,9,0,1
A2039,3,10,0,1
A2039,4,11,0,1
A2039,5,12,0,1
A2039,6,13,0,1
A2039,7,14,0,1
A2040,1,15,0,1
A2040,2,16,0,1
A2040,3,17,0,1
A2040,4,18,0,1
A2040,5,19,0,1
A2040,6,20,0,1
A2040,7,21,0,1
A2041,1,11,0,1
A2041,2,12,0,1
A2042,1,23,0,1
A2042,2,24,0,1
A2042,3,25,0,1
A2043,1,13,0,1
A2043,2,14,0,1
A2046,1,9,0,1
A2046,2,10,0,1
A2046,3,11,0,2
A2046,4,12,0,2
A2046,5,13,0,2
A2047,1,13,0,1
A2047,2,14,0,1
A2048,1,1,0,1
A2048,2,2,0,1
A2048,3,3,0,1
A2049,1,8,0,1
A2049,2,9,0,1
A2049,3,10,0,1
A2049,4,11,0,1
A2049,5,12,0,1
A2050,1,17,0,1
A2050,2,18,0,1
A2051,1,26,0,1
A2051,2,27,0,1
A2054,1,17,0,1
A2054,2,18,0,3
A2055,1,16,0,1
A2056,1,18,0,2
A2056,2,19,0,2
A2057,1,15,0,1
A2057,2,17,0,2
A2057,3,18,0,1
A2057,4,19,0,1
A2057,5,20,0,1
A2057,6,21,0,1
A2057,7,22,0,1
A2058,1,2,0,1
A2058,2,3,0,1
A2058,3,4,0,1
A2058,4,5,0,2
A2058,5,6,0,1
A2058,6,7,0,1
A2058,7,8,0,1
A2059,1,14,0,1
A2059,2,15,0,1
A2059,3,16,0,1
A2059,4,17,0,1
A2059,5,18,0,1
A2059,6,19,0,1
A2059,7,20,0,1
A2060,1,13,0,1
A2060,2,14,0,2
A2060,3,16,0,1
A2061,1,4,0,1
A2061,2,5,0,1
A2061,3,6,0,1
A2061,4,7,0,1
A2061,5,8,0,1
A2061,6,9,0,1
A2061,7,10,0,1
A2063,1,5,0,1
A2064,1,16,0,2
A2065,1,19,0,1
A2066,1,25,0,1
A2069,1,9,0,1
A2069,2,10,0,1
A2070,1,11,0,1
A2070,2,12,0,1
A2070,3,13,0,1
A2070,4,14,0,1
A2070,5,15,0,1
A2071,1,15,0,2
A2072,1,23,0,1
A2073,1,22,0,1
A2074,1,19,0,1
A2075,1,24,0,1
