location_id,location_kind,line_code,bound,supply_capacity
PLAT:D1ALP:D1S03:WB,platform sector,D1ALP,WB,2
PLAT:D1ALP:D1S04:EB,platform sector,D1ALP,EB,2
PLAT:D1ALP:D1S04:WB,platform sector,D1ALP,WB,2
PLAT:D1ALP:D1H01:EB,platform sector,D1ALP,EB,1
PLAT:D1ALP:D1H01:WB,platform sector,D1ALP,WB,1
PLAT:D1ALP:D1H02:EB,platform sector,D1ALP,EB,1
PLAT:D1ALP:D1H02:WB,platform sector,D1ALP,WB,1
PLAT:D1ALP:D1S05:EB,platform sector,D1ALP,EB,2
PLAT:D1ALP:D1S05:WB,platform sector,D1ALP,WB,2
PLAT:D1ALP:D1S06:EB,platform sector,D1ALP,EB,2
PLAT:D1ALP:D1S06:WB,platform sector,D1ALP,WB,2
PLAT:D1ALP:D1S07:EB,platform sector,D1ALP,EB,2
PLAT:D1ALP:D1S07:WB,platform sector,D1ALP,WB,2
PLAT:D1ALP:D1S08:EB,platform sector,D1ALP,EB,2
PLAT:D1ALP:D1S08:WB,platform sector,D1ALP,WB,2
PLAT:D1BET:D1S11:EB,platform sector,D1BET,EB,2
PLAT:D1BET:D1S11:WB,platform sector,D1BET,WB,2
PLAT:D1BET:D1S12:EB,platform sector,D1BET,EB,2
PLAT:D1BET:D1S12:WB,platform sector,D1BET,WB,2
PLAT:D1BET:D1S13:EB,platform sector,D1BET,EB,2
PLAT:D1BET:D1S13:WB,platform sector,D1BET,WB,2
PLAT:D1BET:D1S14:EB,platform sector,D1BET,EB,2
PLAT:D1BET:D1S14:WB,platform sector,D1BET,WB,2
PLAT:D1BET:D1H01:EB,platform sector,D1BET,EB,1
PLAT:D1BET:D1H01:WB,platform sector,D1BET,WB,1
PLAT:D1BET:D1H02:EB,platform sector,D1BET,EB,1
PLAT:D1BET:D1H02:WB,platform sector,D1BET,WB,1
PLAT:D1BET:D1S15:EB,platform sector,D1BET,EB,2
PLAT:D1BET:D1S15:WB,platform sector,D1BET,WB,2
PLAT:D1BET:D1S16:EB,platform sector,D1BET,EB,2
PLAT:D1BET:D1S16:WB,platform sector,D1BET,WB,2
PLAT:D1BET:D1S17:EB,platform sector,D1BET,EB,2
PLAT:D1BET:D1S17:WB,platform sector,D1BET,WB,2
PLAT:D1BET:D1S18:EB,platform sector,D1BET,EB,2
PLAT:D1BET:D1S18:WB,platform sector,D1BET,WB,2
SEC:D2ALP:D2S01_D2S02:EB,tunnel sector,D2ALP,EB,4
SEC:D2ALP:D2S01_D2S02:WB,tunnel sector,D2ALP,WB,4
SEC:D2ALP:D2S02_D2S03:EB,tunnel sector,D2ALP,EB,4
SEC:D2ALP:D2S02_D2S03:WB,tunnel sector,D2ALP,WB,4
SEC:D2ALP:D2S03_D2S04:EB,tunnel sector,D2ALP,EB,4
SEC:D2ALP:D2S03_D2S04:WB,tunnel sector,D2ALP,WB,4
SEC:D2ALP:D2S04_D2H01:EB,tunnel sector,D2ALP,EB,2
SEC:D2ALP:D2S04_D2H01:WB,tunnel sector,D2ALP,WB,2
SEC:D2ALP:D2H01_D2H02:EB,tunnel sector,D2ALP,EB,1
SEC:D2ALP:D2H01_D2H02:WB,tunnel sector,D2ALP,WB,1
SEC:D2ALP:D2H02_D2S05:EB,tunnel sector,D2ALP,EB,2
SEC:D2ALP:D2H02_D2S05:WB,tunnel sector,D2ALP,WB,2
SEC:D2ALP:D2S05_D2S06:EB,tunnel sector,D2ALP,EB,4
SEC:D2ALP:D2S05_D2S06:WB,tunnel sector,D2ALP,WB,4
SEC:D2ALP:D2S06_D2S07:EB,tunnel sector,D2ALP,EB,4
SEC:D2ALP:D2S06_D2S07:WB,tunnel sector,D2ALP,WB,4
SEC:D2ALP:D2S07_D2S08:EB,tunnel sector,D2ALP,EB,4
SEC:D2ALP:D2S07_D2S08:WB,tunnel sector,D2ALP,WB,4
SEC:D2BET:D2S11_D2S12:EB,tunnel sector,D2BET,EB,4
SEC:D2BET:D2S11_D2S12:WB,tunnel sector,D2BET,WB,4
SEC:D2BET:D2S12_D2S13:EB,tunnel sector,D2BET,EB,4
SEC:D2BET:D2S12_D2S13:WB,tunnel sector,D2BET,WB,4
SEC:D2BET:D2S13_D2S14:EB,tunnel sector,D2BET,EB,4
SEC:D2BET:D2S13_D2S14:WB,tunnel sector,D2BET,WB,4
SEC:D2BET:D2S14_D2H01:EB,tunnel sector,D2BET,EB,2
SEC:D2BET:D2S14_D2H01:WB,tunnel sector,D2BET,WB,2
SEC:D2BET:D2H01_D2H02:EB,tunnel sector,D2BET,EB,1
SEC:D2BET:D2H01_D2H02:WB,tunnel sector,D2BET,WB,1
SEC:D2BET:D2H02_D2S15:EB,tunnel sector,D2BET,EB,2
SEC:D2BET:D2H02_D2S15:WB,tunnel sector,D2BET,WB,2
SEC:D2BET:D2S15_D2S16:EB,tunnel sector,D2BET,EB,4
SEC:D2BET:D2S15_D2S16:WB,tunnel sector,D2BET,WB,4
SEC:D2BET:D2S16_D2S17:EB,tunnel sector,D2BET,EB,4
SEC:D2BET:D2S16_D2S17:WB,tunnel sector,D2BET,WB,4
SEC:D2BET:D2S17_D2S18:EB,tunnel sector,D2BET,EB,4
SEC:D2BET:D2S17_D2S18:WB,tunnel sector,D2BET,WB,4
PLAT:D2ALP:D2S01:EB,platform sector,D2ALP,EB,2
PLAT:D2ALP:D2S01:WB,platform sector,D2ALP,WB,2
PLAT:D2ALP:D2S02:EB,platform sector,D2ALP,EB,2
PLAT:D2ALP:D2S02:WB,platform sector,D2ALP,WB,2
PLAT:D2ALP:D2S03:EB,platform sector,D2ALP,EB,2
PLAT:D2ALP:D2S03:WB,platform sector,D2ALP,WB,2
PLAT:D2ALP:D2S04:EB,platform sector,D2ALP,EB,2
PLAT:D2ALP:D2S04:WB,platform sector,D2ALP,WB,2
PLAT:D2ALP:D2H01:EB,platform sector,D2ALP,EB,1
PLAT:D2ALP:D2H01:WB,platform sector,D2ALP,WB,1
PLAT:D2ALP:D2H02:EB,platform sector,D2ALP,EB,1
PLAT:D2ALP:D2H02:WB,platform sector,D2ALP,WB,1
PLAT:D2ALP:D2S05:EB,platform sector,D2ALP,EB,2
PLAT:D2ALP:D2S05:WB,platform sector,D2ALP,WB,2
PLAT:D2ALP:D2S06:EB,platform sector,D2ALP,EB,2
PLAT:D2ALP:D2S06:WB,platform sector,D2ALP,WB,2
PLAT:D2ALP:D2S07:EB,platform sector,D2ALP,EB,2
PLAT:D2ALP:D2S07:WB,platform sector,D2ALP,WB,2
PLAT:D2ALP:D2S08:EB,platform sector,D2ALP,EB,2
PLAT:D2ALP:D2S08:WB,platform sector,D2ALP,WB,2
PLAT:D2BET:D2S11:EB,platform sector,D2BET,EB,2
PLAT:D2BET:D2S11:WB,platform sector,D2BET,WB,2
PLAT:D2BET:D2S12:EB,platform sector,D2BET,EB,2
PLAT:D2BET:D2S12:WB,platform sector,D2BET,WB,2
PLAT:D2BET:D2S13:EB,platform sector,D2BET,EB,2
PLAT:D2BET:D2S13:WB,platform sector,D2BET,WB,2
PLAT:D2BET:D2S14:EB,platform sector,D2BET,EB,2
PLAT:D2BET:D2S14:WB,platform sector,D2BET,WB,2
PLAT:D2BET:D2H01:EB,platform sector,D2BET,EB,1
PLAT:D2BET:D2H01:WB,platform sector,D2BET,WB,1
PLAT:D2BET:D2H02:EB,platform sector,D2BET,EB,1
PLAT:D2BET:D2H02:WB,platform sector,D2BET,WB,1
PLAT:D2BET:D2S15:EB,platform sector,D2BET,EB,2
PLAT:D2BET:D2S15:WB,platform sector,D2BET,WB,2
PLAT:D2BET:D2S16:EB,platform sector,D2BET,EB,2
PLAT:D2BET:D2S16:WB,platform sector,D2BET,WB,2
PLAT:D2BET:D2S17:EB,platform sector,D2BET,EB,2
PLAT:D2BET:D2S17:WB,platform sector,D2BET,WB,2
PLAT:D2BET:D2S18:EB,platform sector,D2BET,EB,2
PLAT:D2BET:D2S18:WB,platform sector,D2BET,WB,2
