activity_id,week,location_id,co_share_group
A1004,16,PLAT:D1ALP:D1H01:EB,p7
A1004,16,PLAT:D1ALP:D1S03:EB,p7
A1004,16,PLAT:D1ALP:D1S04:EB,p7
A1004,16,SEC:D1ALP:D1S03_D1S04:EB,p7
A1004,16,SEC:D1ALP:D1S04_D1H01:EB,p7
A1004,17,PLAT:D1ALP:D1H01:EB,p3
A1004,17,PLAT:D1ALP:D1S03:EB,p3
A1004,17,PLAT:D1ALP:D1S04:EB,p3
A1004,17,SEC:D1ALP:D1S03_D1S04:EB,p3
A1004,17,SEC:D1ALP:D1S04_D1H01:EB,p3
A1004,18,PLAT:D1ALP:D1H01:EB,p3
A1004,18,PLAT:D1ALP:D1S03:EB,p3
A1004,18,PLAT:D1ALP:D1S04:EB,p3
A1004,18,SEC:D1ALP:D1S03_D1S04:EB,p3
A1004,18,SEC:D1ALP:D1S04_D1H01:EB,p3
A1006,2,PLAT:D1ALP:D1H01:WB,p1
A1006,2,PLAT:D1ALP:D1H02:WB,p1
A1006,2,PLAT:D1ALP:D1S03:WB,p1
A1006,2,PLAT:D1ALP:D1S04:WB,p1
A1006,2,SEC:D1ALP:D1H01_D1H02:WB,p1
A1006,2,SEC:D1ALP:D1S03_D1S04:WB,p1
A1006,2,SEC:D1ALP:D1S04_D1H01:WB,p1
A1006,3,PLAT:D1ALP:D1H01:WB,p4
A1006,3,PLAT:D1ALP:D1H02:WB,p4
A1006,3,PLAT:D1ALP:D1S03:WB,p4
A1006,3,PLAT:D1ALP:D1S04:WB,p4
A1006,3,SEC:D1ALP:D1H01_D1H02:WB,p4
A1006,3,SEC:D1ALP:D1S03_D1S04:WB,p4
A1006,3,SEC:D1ALP:D1S04_D1H01:WB,p4
A1007,15,PLAT:D1BET:D1H01:EB,p7
A1007,15,PLAT:D1BET:D1H02:EB,p7
A1007,15,SEC:D1BET:D1H01_D1H02:EB,p7
A1007,16,PLAT:D1BET:D1H01:EB,p3
A1007,16,PLAT:D1BET:D1H02:EB,p3
A1007,16,SEC:D1BET:D1H01_D1H02:EB,p3
A1007,17,PLAT:D1BET:D1H01:EB,p5
A1007,17,PLAT:D1BET:D1H02:EB,p5
A1007,17,SEC:D1BET:D1H01_D1H02:EB,p5
A1007,18,PLAT:D1BET:D1H01:EB,p4
A1007,18,PLAT:D1BET:D1H02:EB,p4
A1007,18,SEC:D1BET:D1H01_D1H02:EB,p4
A1007,19,PLAT:D1BET:D1H01:EB,p2
A1007,19,PLAT:D1BET:D1H02:EB,p2
A1007,19,SEC:D1BET:D1H01_D1H02:EB,p2
A1007,20,PLAT:D1BET:D1H01:EB,p1
A1007,20,PLAT:D1BET:D1H02:EB,p1
A1007,20,SEC:D1BET:D1H01_D1H02:EB,p1
A1007,21,PLAT:D1BET:D1H01:EB,p2
A1007,21,PLAT:D1BET:D1H02:EB,p2
A1007,21,SEC:D1BET:D1H01_D1H02:EB,p2
A1008,16,PLAT:D1BET:D1S17:EB,p6
A1008,16,PLAT:D1BET:D1S18:EB,p6
A1008,16,SEC:D1BET:D1S17_D1S18:EB,p6
A1008,17,PLAT:D1BET:D1S17:EB,p3
A1008,17,PLAT:D1BET:D1S18:EB,p3
A1008,17,SEC:D1BET:D1S17_D1S18:EB,p3
A1008,18,PLAT:D1BET:D1S17:EB,p7
A1008,18,PLAT:D1BET:D1S18:EB,p7
A1008,18,SEC:D1BET:D1S17_D1S18:EB,p7
A1008,19,PLAT:D1BET:D1S17:EB,p6
A1008,19,PLAT:D1BET:D1S18:EB,p6
A1008,19,SEC:D1BET:D1S17_D1S18:EB,p6
A1008,20,PLAT:D1BET:D1S17:EB,p2
A1008,20,PLAT:D1BET:D1S18:EB,p2
A1008,20,SEC:D1BET:D1S17_D1S18:EB,p2
A1009,2,PLAT:D1ALP:D1S05:EB,p4
A1009,2,PLAT:D1ALP:D1S06:EB,p4
A1009,2,SEC:D1ALP:D1S05_D1S06:EB,p4
A1009,3,PLAT:D1ALP:D1S05:EB,p7
A1009,3,PLAT:D1ALP:D1S06:EB,p7
A1009,3,SEC:D1ALP:D1S05_D1S06:EB,p7
A1009,4,PLAT:D1ALP:D1S05:EB,p6
A1009,4,PLAT:D1ALP:D1S06:EB,p6
A1009,4,SEC:D1ALP:D1S05_D1S06:EB,p6
A1009,5,PLAT:D1ALP:D1S05:EB,p7
A1009,5,PLAT:D1ALP:D1S06:EB,p7
A1009,5,SEC:D1ALP:D1S05_D1S06:EB,p7
A1009,6,PLAT:D1ALP:D1S05:EB,p7
A1009,6,PLAT:D1ALP:D1S06:EB,p7
A1009,6,SEC:D1ALP:D1S05_D1S06:EB,p7
A1009,7,PLAT:D1ALP:D1S05:EB,p7
A1009,7,PLAT:D1ALP:D1S06:EB,p7
A1009,7,SEC:D1ALP:D1S05_D1S06:EB,p7
A1009,8,PLAT:D1ALP:D1S05:EB,p7
A1009,8,PLAT:D1ALP:D1S06:EB,p7
A1009,8,SEC:D1ALP:D1S05_D1S06:EB,p7
A1011,15,PLAT:D1BET:D1S15:EB,p3
A1011,15,PLAT:D1BET:D1S16:EB,p3
A1011,15,PLAT:D1BET:D1S17:EB,p3
A1011,15,SEC:D1BET:D1S15_D1S16:EB,p3
A1011,15,SEC:D1BET:D1S16_D1S17:EB,p3
A1011,16,PLAT:D1BET:D1S15:EB,p7
A1011,16,PLAT:D1BET:D1S16:EB,p7
A1011,16,PLAT:D1BET:D1S17:EB,p7
A1011,16,SEC:D1BET:D1S15_D1S16:EB,p7
A1011,16,SEC:D1BET:D1S16_D1S17:EB,p7
A1012,2,PLAT:D1BET:D1H01:WB,p2
A1012,2,PLAT:D1BET:D1H02:WB,p2
A1012,2,PLAT:D1BET:D1S15:WB,p2
A1012,2,SEC:D1BET:D1H01_D1H02:WB,p2
A1012,2,SEC:D1BET:D1H02_D1S15:WB,p2
A1012,3,PLAT:D1BET:D1H01:WB,p5
A1012,3,PLAT:D1BET:D1H02:WB,p5
A1012,3,PLAT:D1BET:D1S15:WB,p5
A1012,3,SEC:D1BET:D1H01_D1H02:WB,p5
A1012,3,SEC:D1BET:D1H02_D1S15:WB,p5
A1012,4,PLAT:D1BET:D1H01:WB,p7
A1012,4,PLAT:D1BET:D1H02:WB,p7
A1012,4,PLAT:D1BET:D1S15:WB,p7
A1012,4,SEC:D1BET:D1H01_D1H02:WB,p7
A1012,4,SEC:D1BET:D1H02_D1S15:WB,p7
A1012,5,PLAT:D1BET:D1H01:WB,p2
A1012,5,PLAT:D1BET:D1H02:WB,p2
A1012,5,PLAT:D1BET:D1S15:WB,p2
A1012,5,SEC:D1BET:D1H01_D1H02:WB,p2
A1012,5,SEC:D1BET:D1H02_D1S15:WB,p2
A1012,6,PLAT:D1BET:D1H01:WB,p6
A1012,6,PLAT:D1BET:D1H02:WB,p6
A1012,6,PLAT:D1BET:D1S15:WB,p6
A1012,6,SEC:D1BET:D1H01_D1H02:WB,p6
A1012,6,SEC:D1BET:D1H02_D1S15:WB,p6
A1012,7,PLAT:D1BET:D1H01:WB,p6
A1012,7,PLAT:D1BET:D1H02:WB,p6
A1012,7,PLAT:D1BET:D1S15:WB,p6
A1012,7,SEC:D1BET:D1H01_D1H02:WB,p6
A1012,7,SEC:D1BET:D1H02_D1S15:WB,p6
A1012,8,PLAT:D1BET:D1H01:WB,p1
A1012,8,PLAT:D1BET:D1H02:WB,p1
A1012,8,PLAT:D1BET:D1S15:WB,p1
A1012,8,SEC:D1BET:D1H01_D1H02:WB,p1
A1012,8,SEC:D1BET:D1H02_D1S15:WB,p1
A1013,21,PLAT:D1ALP:D1S05:WB,p5
A1013,21,PLAT:D1ALP:D1S06:WB,p5
A1013,21,SEC:D1ALP:D1S05_D1S06:WB,p5
A1013,22,PLAT:D1ALP:D1S05:WB,p5
A1013,22,PLAT:D1ALP:D1S06:WB,p5
A1013,22,SEC:D1ALP:D1S05_D1S06:WB,p5
A1013,23,PLAT:D1ALP:D1S05:WB,p2
A1013,23,PLAT:D1ALP:D1S06:WB,p2
A1013,23,SEC:D1ALP:D1S05_D1S06:WB,p2
A1013,24,PLAT:D1ALP:D1S05:WB,p4
A1013,24,PLAT:D1ALP:D1S06:WB,p4
A1013,24,SEC:D1ALP:D1S05_D1S06:WB,p4
A1013,25,PLAT:D1ALP:D1S05:WB,p6
A1013,25,PLAT:D1ALP:D1S06:WB,p6
A1013,25,SEC:D1ALP:D1S05_D1S06:WB,p6
A1014,13,PLAT:D1ALP:D1S07:EB,p7
A1014,13,PLAT:D1ALP:D1S08:EB,p7
A1014,13,SEC:D1ALP:D1S07_D1S08:EB,p7
A1014,14,PLAT:D1ALP:D1S07:EB,p3
A1014,14,PLAT:D1ALP:D1S08:EB,p3
A1014,14,SEC:D1ALP:D1S07_D1S08:EB,p3
A1014,15,PLAT:D1ALP:D1S07:EB,p7
A1014,15,PLAT:D1ALP:D1S08:EB,p7
A1014,15,SEC:D1ALP:D1S07_D1S08:EB,p7
A1014,16,PLAT:D1ALP:D1S07:EB,p7
A1014,16,PLAT:D1ALP:D1S08:EB,p7
A1014,16,SEC:D1ALP:D1S07_D1S08:EB,p7
A1014,17,PLAT:D1ALP:D1S07:EB,p7
A1014,17,PLAT:D1ALP:D1S08:EB,p7
A1014,17,SEC:D1ALP:D1S07_D1S08:EB,p7
A1014,18,PLAT:D1ALP:D1S07:EB,p7
A1014,18,PLAT:D1ALP:D1S08:EB,p7
A1014,18,SEC:D1ALP:D1S07_D1S08:EB,p7
A1014,19,PLAT:D1ALP:D1S07:EB,p7
A1014,19,PLAT:D1ALP:D1S08:EB,p7
A1014,19,SEC:D1ALP:D1S07_D1S08:EB,p7
A1017,17,PLAT:D1BET:D1H01:EB,p5
A1017,17,PLAT:D1BET:D1H02:EB,p5
A1017,17,PLAT:D1BET:D1S15:EB,p5
A1017,17,PLAT:D1BET:D1S16:EB,p5
A1017,17,SEC:D1BET:D1H01_D1H02:EB,p5
A1017,17,SEC:D1BET:D1H02_D1S15:EB,p5
A1017,17,SEC:D1BET:D1S15_D1S16:EB,p5
A1017,18,PLAT:D1BET:D1H01:EB,p4
A1017,18,PLAT:D1BET:D1H02:EB,p4
A1017,18,PLAT:D1BET:D1S15:EB,p4
A1017,18,PLAT:D1BET:D1S16:EB,p4
A1017,18,SEC:D1BET:D1H01_D1H02:EB,p4
A1017,18,SEC:D1BET:D1H02_D1S15:EB,p4
A1017,18,SEC:D1BET:D1S15_D1S16:EB,p4
A1017,19,PLAT:D1BET:D1H01:EB,p2
A1017,19,PLAT:D1BET:D1H02:EB,p2
A1017,19,PLAT:D1BET:D1S15:EB,p2
A1017,19,PLAT:D1BET:D1S16:EB,p2
A1017,19,SEC:D1BET:D1H01_D1H02:EB,p2
A1017,19,SEC:D1BET:D1H02_D1S15:EB,p2
A1017,19,SEC:D1BET:D1S15_D1S16:EB,p2
A1017,20,PLAT:D1BET:D1H01:EB,p1
A1017,20,PLAT:D1BET:D1H02:EB,p1
A1017,20,PLAT:D1BET:D1S15:EB,p1
A1017,20,PLAT:D1BET:D1S16:EB,p1
A1017,20,SEC:D1BET:D1H01_D1H02:EB,p1
A1017,20,SEC:D1BET:D1H02_D1S15:EB,p1
A1017,20,SEC:D1BET:D1S15_D1S16:EB,p1
A1017,21,PLAT:D1BET:D1H01:EB,p2
A1017,21,PLAT:D1BET:D1H02:EB,p2
A1017,21,PLAT:D1BET:D1S15:EB,p2
A1017,21,PLAT:D1BET:D1S16:EB,p2
A1017,21,SEC:D1BET:D1H01_D1H02:EB,p2
A1017,21,SEC:D1BET:D1H02_D1S15:EB,p2
A1017,21,SEC:D1BET:D1S15_D1S16:EB,p2
A1017,22,PLAT:D1BET:D1H01:EB,p1
A1017,22,PLAT:D1BET:D1H02:EB,p1
A1017,22,PLAT:D1BET:D1S15:EB,p1
A1017,22,PLAT:D1BET:D1S16:EB,p1
A1017,22,SEC:D1BET:D1H01_D1H02:EB,p1
A1017,22,SEC:D1BET:D1H02_D1S15:EB,p1
A1017,22,SEC:D1BET:D1S15_D1S16:EB,p1
A1017,23,PLAT:D1BET:D1H01:EB,p3
A1017,23,PLAT:D1BET:D1H02:EB,p3
A1017,23,PLAT:D1BET:D1S15:EB,p3
A1017,23,PLAT:D1BET:D1S16:EB,p3
A1017,23,SEC:D1BET:D1H01_D1H02:EB,p3
A1017,23,SEC:D1BET:D1H02_D1S15:EB,p3
A1017,23,SEC:D1BET:D1S15_D1S16:EB,p3
A1019,11,PLAT:D1BET:D1S16:EB,p2
A1019,11,PLAT:D1BET:D1S17:EB,p2
A1019,11,SEC:D1BET:D1S16_D1S17:EB,p2
A1019,12,PLAT:D1BET:D1S16:EB,p7
A1019,12,PLAT:D1BET:D1S17:EB,p7
A1019,12,SEC:D1BET:D1S16_D1S17:EB,p7
A1020,13,PLAT:D1ALP:D1H01:WB,p2
A1020,13,PLAT:D1ALP:D1H02:WB,p2
A1020,13,PLAT:D1ALP:D1S04:WB,p2
A1020,13,PLAT:D1ALP:D1S05:WB,p2
A1020,13,SEC:D1ALP:D1H01_D1H02:WB,p2
A1020,13,SEC:D1ALP:D1H02_D1S05:WB,p2
A1020,13,SEC:D1ALP:D1S04_D1H01:WB,p2
A1020,14,PLAT:D1ALP:D1H01:WB,p1
A1020,14,PLAT:D1ALP:D1H02:WB,p1
A1020,14,PLAT:D1ALP:D1S04:WB,p1
A1020,14,PLAT:D1ALP:D1S05:WB,p1
A1020,14,SEC:D1ALP:D1H01_D1H02:WB,p1
A1020,14,SEC:D1ALP:D1H02_D1S05:WB,p1
A1020,14,SEC:D1ALP:D1S04_D1H01:WB,p1
A1021,3,PLAT:D1BET:D1S11:WB,p7
A1021,3,PLAT:D1BET:D1S12:WB,p7
A1021,3,PLAT:D1BET:D1S13:WB,p7
A1021,3,SEC:D1BET:D1S11_D1S12:WB,p7
A1021,3,SEC:D1BET:D1S12_D1S13:WB,p7
A1021,4,PLAT:D1BET:D1S11:WB,p3
A1021,4,PLAT:D1BET:D1S12:WB,p3
A1021,4,PLAT:D1BET:D1S13:WB,p3
A1021,4,SEC:D1BET:D1S11_D1S12:WB,p3
A1021,4,SEC:D1BET:D1S12_D1S13:WB,p3
A1021,5,PLAT:D1BET:D1S11:WB,p7
A1021,5,PLAT:D1BET:D1S12:WB,p7
A1021,5,PLAT:D1BET:D1S13:WB,p7
A1021,5,SEC:D1BET:D1S11_D1S12:WB,p7
A1021,5,SEC:D1BET:D1S12_D1S13:WB,p7
A1023,21,PLAT:D1ALP:D1S03:WB,p7
A1023,21,PLAT:D1ALP:D1S04:WB,p7
A1023,21,SEC:D1ALP:D1S03_D1S04:WB,p7
A1023,22,PLAT:D1ALP:D1S03:WB,p3
A1023,22,PLAT:D1ALP:D1S04:WB,p3
A1023,22,SEC:D1ALP:D1S03_D1S04:WB,p3
A1023,23,PLAT:D1ALP:D1S03:WB,p5
A1023,23,PLAT:D1ALP:D1S04:WB,p5
A1023,23,SEC:D1ALP:D1S03_D1S04:WB,p5
A1023,24,PLAT:D1ALP:D1S03:WB,p7
A1023,24,PLAT:D1ALP:D1S04:WB,p7
A1023,24,SEC:D1ALP:D1S03_D1S04:WB,p7
A1023,25,PLAT:D1ALP:D1S03:WB,p6
A1023,25,PLAT:D1ALP:D1S04:WB,p6
A1023,25,SEC:D1ALP:D1S03_D1S04:WB,p6
A1023,26,PLAT:D1ALP:D1S03:WB,p6
A1023,26,PLAT:D1ALP:D1S04:WB,p6
A1023,26,SEC:D1ALP:D1S03_D1S04:WB,p6
A1023,27,PLAT:D1ALP:D1S03:WB,p5
A1023,27,PLAT:D1ALP:D1S04:WB,p5
A1023,27,SEC:D1ALP:D1S03_D1S04:WB,p5
A1025,10,PLAT:D1ALP:D1S01:EB,p2
A1025,10,PLAT:D1ALP:D1S02:EB,p2
A1025,10,PLAT:D1ALP:D1S03:EB,p2
A1025,10,SEC:D1ALP:D1S01_D1S02:EB,p2
A1025,10,SEC:D1ALP:D1S02_D1S03:EB,p2
A1025,11,PLAT:D1ALP:D1S01:EB,p6
A1025,11,PLAT:D1ALP:D1S02:EB,p6
A1025,11,PLAT:D1ALP:D1S03:EB,p6
A1025,11,SEC:D1ALP:D1S01_D1S02:EB,p6
A1025,11,SEC:D1ALP:D1S02_D1S03:EB,p6
A1025,12,PLAT:D1ALP:D1S01:EB,p7
A1025,12,PLAT:D1ALP:D1S02:EB,p7
A1025,12,PLAT:D1ALP:D1S03:EB,p7
A1025,12,SEC:D1ALP:D1S01_D1S02:EB,p7
A1025,12,SEC:D1ALP:D1S02_D1S03:EB,p7
A1025,13,PLAT:D1ALP:D1S01:EB,p7
A1025,13,PLAT:D1ALP:D1S02:EB,p7
A1025,13,PLAT:D1ALP:D1S03:EB,p7
A1025,13,SEC:D1ALP:D1S01_D1S02:EB,p7
A1025,13,SEC:D1ALP:D1S02_D1S03:EB,p7
A1025,14,PLAT:D1ALP:D1S01:EB,p7
A1025,14,PLAT:D1ALP:D1S02:EB,p7
A1025,14,PLAT:D1ALP:D1S03:EB,p7
A1025,14,SEC:D1ALP:D1S01_D1S02:EB,p7
A1025,14,SEC:D1ALP:D1S02_D1S03:EB,p7
A1025,8,PLAT:D1ALP:D1S01:EB,p7
A1025,8,PLAT:D1ALP:D1S02:EB,p7
A1025,8,PLAT:D1ALP:D1S03:EB,p7
A1025,8,SEC:D1ALP:D1S01_D1S02:EB,p7
A1025,8,SEC:D1ALP:D1S02_D1S03:EB,p7
A1025,9,PLAT:D1ALP:D1S01:EB,p6
A1025,9,PLAT:D1ALP:D1S02:EB,p6
A1025,9,PLAT:D1ALP:D1S03:EB,p6
A1025,9,SEC:D1ALP:D1S01_D1S02:EB,p6
A1025,9,SEC:D1ALP:D1S02_D1S03:EB,p6
A1028,10,PLAT:D1ALP:D1H01:EB,p5
A1028,10,PLAT:D1ALP:D1S03:EB,p5
A1028,10,PLAT:D1ALP:D1S04:EB,p5
A1028,10,SEC:D1ALP:D1S03_D1S04:EB,p5
A1028,10,SEC:D1ALP:D1S04_D1H01:EB,p5
A1028,9,PLAT:D1ALP:D1H01:EB,p7
A1028,9,PLAT:D1ALP:D1S03:EB,p7
A1028,9,PLAT:D1ALP:D1S04:EB,p7
A1028,9,SEC:D1ALP:D1S03_D1S04:EB,p7
A1028,9,SEC:D1ALP:D1S04_D1H01:EB,p7
A1031,1,PLAT:D1ALP:D1S06:WB,p7
A1031,1,PLAT:D1ALP:D1S07:WB,p7
A1031,1,PLAT:D1ALP:D1S08:WB,p7
A1031,1,SEC:D1ALP:D1S06_D1S07:WB,p7
A1031,1,SEC:D1ALP:D1S07_D1S08:WB,p7
A1031,2,PLAT:D1ALP:D1S06:WB,p2
A1031,2,PLAT:D1ALP:D1S07:WB,p2
A1031,2,PLAT:D1ALP:D1S08:WB,p2
A1031,2,SEC:D1ALP:D1S06_D1S07:WB,p2
A1031,2,SEC:D1ALP:D1S07_D1S08:WB,p2
A1035,1,PLAT:D1ALP:D1S02:WB,p7
A1035,1,PLAT:D1ALP:D1S03:WB,p7
A1035,1,PLAT:D1ALP:D1S04:WB,p7
A1035,1,SEC:D1ALP:D1S02_D1S03:WB,p7
A1035,1,SEC:D1ALP:D1S03_D1S04:WB,p7
A1035,2,PLAT:D1ALP:D1S02:WB,p1
A1035,2,PLAT:D1ALP:D1S03:WB,p1
A1035,2,PLAT:D1ALP:D1S04:WB,p1
A1035,2,SEC:D1ALP:D1S02_D1S03:WB,p1
A1035,2,SEC:D1ALP:D1S03_D1S04:WB,p1
A1035,3,PLAT:D1ALP:D1S02:WB,p4
A1035,3,PLAT:D1ALP:D1S03:WB,p4
A1035,3,PLAT:D1ALP:D1S04:WB,p4
A1035,3,SEC:D1ALP:D1S02_D1S03:WB,p4
A1035,3,SEC:D1ALP:D1S03_D1S04:WB,p4
A1036,22,PLAT:D1BET:D1H01:EB,p1
A1036,22,PLAT:D1BET:D1S14:EB,p1
A1036,22,SEC:D1BET:D1S14_D1H01:EB,p1
A1036,23,PLAT:D1BET:D1H01:EB,p3
A1036,23,PLAT:D1BET:D1S14:EB,p3
A1036,23,SEC:D1BET:D1S14_D1H01:EB,p3
A1036,24,PLAT:D1BET:D1H01:EB,p2
A1036,24,PLAT:D1BET:D1S14:EB,p2
A1036,24,SEC:D1BET:D1S14_D1H01:EB,p2
A1036,25,PLAT:D1BET:D1H01:EB,p1
A1036,25,PLAT:D1BET:D1S14:EB,p1
A1036,25,SEC:D1BET:D1S14_D1H01:EB,p1
A1036,26,PLAT:D1BET:D1H01:EB,p3
A1036,26,PLAT:D1BET:D1S14:EB,p3
A1036,26,SEC:D1BET:D1S14_D1H01:EB,p3
A1037,8,PLAT:D1BET:D1S15:EB,p3
A1037,8,PLAT:D1BET:D1S16:EB,p3
A1037,8,PLAT:D1BET:D1S17:EB,p3
A1037,8,SEC:D1BET:D1S15_D1S16:EB,p3
A1037,8,SEC:D1BET:D1S16_D1S17:EB,p3
A1037,9,PLAT:D1BET:D1S15:EB,p1
A1037,9,PLAT:D1BET:D1S16:EB,p1
A1037,9,PLAT:D1BET:D1S17:EB,p1
A1037,9,SEC:D1BET:D1S15_D1S16:EB,p1
A1037,9,SEC:D1BET:D1S16_D1S17:EB,p1
A1038,10,PLAT:D1BET:D1S17:EB,p6
A1038,10,PLAT:D1BET:D1S18:EB,p6
A1038,10,SEC:D1BET:D1S17_D1S18:EB,p6
A1038,11,PLAT:D1BET:D1S17:EB,p7
A1038,11,PLAT:D1BET:D1S18:EB,p7
A1038,11,SEC:D1BET:D1S17_D1S18:EB,p7
A1038,12,PLAT:D1BET:D1S17:EB,p7
A1038,12,PLAT:D1BET:D1S18:EB,p7
A1038,12,SEC:D1BET:D1S17_D1S18:EB,p7
A1039,10,PLAT:D1BET:D1S11:WB,p7
A1039,10,PLAT:D1BET:D1S12:WB,p7
A1039,10,PLAT:D1BET:D1S13:WB,p7
A1039,10,PLAT:D1BET:D1S14:WB,p7
A1039,10,SEC:D1BET:D1S11_D1S12:WB,p7
A1039,10,SEC:D1BET:D1S12_D1S13:WB,p7
A1039,10,SEC:D1BET:D1S13_D1S14:WB,p7
A1039,11,PLAT:D1BET:D1S11:WB,p6
A1039,11,PLAT:D1BET:D1S12:WB,p6
A1039,11,PLAT:D1BET:D1S13:WB,p6
A1039,11,PLAT:D1BET:D1S14:WB,p6
A1039,11,SEC:D1BET:D1S11_D1S12:WB,p6
A1039,11,SEC:D1BET:D1S12_D1S13:WB,p6
A1039,11,SEC:D1BET:D1S13_D1S14:WB,p6
A1039,12,PLAT:D1BET:D1S11:WB,p5
A1039,12,PLAT:D1BET:D1S12:WB,p5
A1039,12,PLAT:D1BET:D1S13:WB,p5
A1039,12,PLAT:D1BET:D1S14:WB,p5
A1039,12,SEC:D1BET:D1S11_D1S12:WB,p5
A1039,12,SEC:D1BET:D1S12_D1S13:WB,p5
A1039,12,SEC:D1BET:D1S13_D1S14:WB,p5
A1039,13,PLAT:D1BET:D1S11:WB,p7
A1039,13,PLAT:D1BET:D1S12:WB,p7
A1039,13,PLAT:D1BET:D1S13:WB,p7
A1039,13,PLAT:D1BET:D1S14:WB,p7
A1039,13,SEC:D1BET:D1S11_D1S12:WB,p7
A1039,13,SEC:D1BET:D1S12_D1S13:WB,p7
A1039,13,SEC:D1BET:D1S13_D1S14:WB,p7
A1039,14,PLAT:D1BET:D1S11:WB,p4
A1039,14,PLAT:D1BET:D1S12:WB,p4
A1039,14,PLAT:D1BET:D1S13:WB,p4
A1039,14,PLAT:D1BET:D1S14:WB,p4
A1039,14,SEC:D1BET:D1S11_D1S12:WB,p4
A1039,14,SEC:D1BET:D1S12_D1S13:WB,p4
A1039,14,SEC:D1BET:D1S13_D1S14:WB,p4
A1039,8,PLAT:D1BET:D1S11:WB,p2
A1039,8,PLAT:D1BET:D1S12:WB,p2
A1039,8,PLAT:D1BET:D1S13:WB,p2
A1039,8,PLAT:D1BET:D1S14:WB,p2
A1039,8,SEC:D1BET:D1S11_D1S12:WB,p2
A1039,8,SEC:D1BET:D1S12_D1S13:WB,p2
A1039,8,SEC:D1BET:D1S13_D1S14:WB,p2
A1039,9,PLAT:D1BET:D1S11:WB,p7
A1039,9,PLAT:D1BET:D1S12:WB,p7
A1039,9,PLAT:D1BET:D1S13:WB,p7
A1039,9,PLAT:D1BET:D1S14:WB,p7
A1039,9,SEC:D1BET:D1S11_D1S12:WB,p7
A1039,9,SEC:D1BET:D1S12_D1S13:WB,p7
A1039,9,SEC:D1BET:D1S13_D1S14:WB,p7
A1040,15,PLAT:D1BET:D1H01:EB,p7
A1040,15,PLAT:D1BET:D1H02:EB,p7
A1040,15,PLAT:D1BET:D1S15:EB,p7
A1040,15,PLAT:D1BET:D1S16:EB,p7
A1040,15,SEC:D1BET:D1H01_D1H02:EB,p7
A1040,15,SEC:D1BET:D1H02_D1S15:EB,p7
A1040,15,SEC:D1BET:D1S15_D1S16:EB,p7
